AzureBlobDistributedLock_2	FAIL	2	CS1525,CS0103
AzureScheduler_1	CLEAN	0	
AzureScheduler_10	FAIL	7	CS0246,CS0103,CS0161
AzureScheduler_11	FAIL	4	CS0103
AzureScheduler_12	FAIL	4	CS0103,CS0246
AzureScheduler_13	FAIL	1	CS0246
AzureScheduler_14	FAIL	1	CS0246
AzureScheduler_15	FAIL	2	CS1002,CS0246
AzureScheduler_16	FAIL	2	CS1002,CS0246
AzureScheduler_17	FAIL	6	CS0103
AzureScheduler_18	FAIL	3	CS0103
AzureScheduler_19	FAIL	3	CS1002,CS1513
AzureScheduler_2	FAIL	1	CS0246
AzureScheduler_20	CLEAN	0	
AzureScheduler_21	CLEAN	0	
AzureScheduler_22	FAIL	5	CS0246
AzureScheduler_23	FAIL	2	CS0103,CS0246
AzureScheduler_24	FAIL	9	CS1002,CS0246,CS0103
AzureScheduler_25	FAIL	5	CS0246,CS0103
AzureScheduler_26	FAIL	13	CS8635,CS1003,CS0246,CS0825,CS0103,CS0161
AzureScheduler_3	FAIL	1	CS0246
AzureScheduler_4	FAIL	1	CS0246
AzureScheduler_5	FAIL	4	CS0103,CS0246
AzureScheduler_6	FAIL	12	CS0103,CS0246
AzureScheduler_7	FAIL	3	CS0246,CS0103
AzureScheduler_8	FAIL	4	CS0246,CS0103
AzureScheduler_9	FAIL	8	CS0246,CS0103,CS0161
AzureServiceBusConfiguration_1	FAIL	10	CS8635,CS1003,CS1002,CS0246,CS0103
AzureServiceBusConfiguration_2	FAIL	42	CS1026,CS1002,CS1513,CS0246,CS0103
BoxProvisioning_1	CLEAN	0	
BoxProvisioningConfiguration_1	FAIL	2	CS0103
BoxProvisioningConfiguration_2	FAIL	5	CS0246,CS0103
BoxProvisioningConfiguration_3	FAIL	1	CS0103
BoxProvisioningConfiguration_4	FAIL	1	CS0103
BoxProvisioningConfiguration_5	FAIL	3	CS0103
BoxProvisioningConfiguration_6	FAIL	3	CS0103
BoxProvisioningConfiguration_7	FAIL	3	CS0103
BoxProvisioningConfiguration_8	FAIL	3	CS0103
BoxProvisioningConfiguration_9	FAIL	3	CS0103
BrighterBasicConfiguration_1	FAIL	2	CS0103,CS0246
BrighterBasicConfiguration_2	FAIL	5	CS0234,CS0103,CS0246
BrighterBasicConfiguration_3	FAIL	19	CS1002,CS1519,CS1001,CS8635,CS1513,CS1022
BrighterBasicConfiguration_4	FAIL	35	CS1002,CS1519,CS8124,CS1026,CS1031,CS1022
BrighterBasicConfiguration_5	FAIL	5	CS0246,CS0103
BrighterControlAPI_1	FAIL	3	CS1026,CS1002,CS0103
BrighterInboxSupport_1	FAIL	10	CS0246,CS0103,CS0117
BrighterInboxSupport_2	FAIL	9	CS1002,CS0246,CS0103
BrighterOutboxSupport_1	FAIL	29	CS1520,CS0246,CS0103,CS0117
BrighterOutboxSupport_2	FAIL	13	CS0246,CS1106,CS0103
BrighterSchedulerSupport_1	FAIL	24	CS0246
BrighterSchedulerSupport_2	FAIL	10	CS0103,CS0246,CS0128
BrighterSchedulerSupport_3	FAIL	8	CS0103,CS0246,CS0128
BrighterSchedulerSupport_4	FAIL	5	CS0103,CS0246
BrighterSchedulerSupport_5	FAIL	6	CS8635,CS1002,CS1513,CS0103,CS0246
BrighterSchedulerSupport_6	FAIL	9	CS0246,CS0103
BrighterSchedulerSupport_7	FAIL	7	CS0246,CS0103
BuildingAnAsyncPipeline_1	CLEAN	0	
BuildingAnAsyncPipeline_2	FAIL	13	CS0246,CS0103
BuildingAnAsyncPipeline_3	FAIL	6	CS0246,CS0103,CS1729
BuildingAPipeline_1	FAIL	6	CS0234,CS0246,CS0103
BuildingAPipeline_2	FAIL	8	CS0246,CS0103
BuildingAPipeline_3	FAIL	6	CS0246,CS1729,CS0103
BuildingAPipeline_4	FAIL	6	CS0246,CS0103
CausationTrackingStores_1	FAIL	1	CS0117
CausationTrackingStores_2	FAIL	18	CS0246,CS0535,CS0103
ClaimCheck_1	FAIL	1	CS0246
ClaimCheck_2	FAIL	2	CS0246
ClaimCheck_3	CLEAN	0	
CloudEventsReference_1	FAIL	5	CS0246
CloudEventsReference_2	FAIL	5	CS0246
CloudEventsReference_3	FAIL	5	CS0246
CloudEventsReference_4	FAIL	5	CS0246
CloudEventsSupport_1	FAIL	6	CS0246,CS0103
CloudEventsSupport_10	FAIL	9	CS1002,CS0103,CS0246
CloudEventsSupport_11	FAIL	9	CS1002,CS0103,CS0246
CloudEventsSupport_12	FAIL	10	CS1002,CS0103,CS0246
CloudEventsSupport_13	FAIL	2	CS0103,CS0246
CloudEventsSupport_2	FAIL	6	CS0246
CloudEventsSupport_3	FAIL	17	CS0246,CS0103
CloudEventsSupport_4	FAIL	6	CS1525,CS1002,CS0246
CloudEventsSupport_5	FAIL	4	CS0246,CS0103,CS0117
CloudEventsSupport_6	FAIL	20	CS0246,CS0103
CloudEventsSupport_7	FAIL	3	CS0103,CS0128
CloudEventsSupport_8	FAIL	3	CS0103,CS0128
CloudEventsSupport_9	FAIL	9	CS1002,CS0246,CS0501
CommandProcessorConfigurationReference_1	FAIL	4	CS8635,CS1003,CS1002,CS0246
CommandProcessorConfigurationReference_10	FAIL	5	CS0246,CS0103
CommandProcessorConfigurationReference_11	FAIL	14	CS0246,CS0161
CommandProcessorConfigurationReference_12	FAIL	1	CS0103
CommandProcessorConfigurationReference_13	FAIL	3	CS8635,CS1003,CS0246
CommandProcessorConfigurationReference_14	FAIL	4	CS8635,CS1003,CS0246
CommandProcessorConfigurationReference_15	FAIL	5	CS8635,CS1002,CS1513,CS0246
CommandProcessorConfigurationReference_16	FAIL	9	CS0246,CS0103
CommandProcessorConfigurationReference_17	FAIL	6	CS8635,CS1003,CS1002,CS1513,CS0246
CommandProcessorConfigurationReference_18	FAIL	9	CS8635,CS1003,CS1002,CS1513,CS0246,CS0103
CommandProcessorConfigurationReference_19	FAIL	8	CS8635,CS1003,CS1002,CS1513,CS0246
CommandProcessorConfigurationReference_2	FAIL	2	CS0103
CommandProcessorConfigurationReference_20	FAIL	9	CS1520,CS0246,CS0103
CommandProcessorConfigurationReference_21	FAIL	3	CS1513,CS1002,CS0103
CommandProcessorConfigurationReference_22	FAIL	5	CS0246,CS0103
CommandProcessorConfigurationReference_3	FAIL	6	CS0246
CommandProcessorConfigurationReference_4	CLEAN	0	
CommandProcessorConfigurationReference_5	FAIL	5	CS1026,CS1513,CS0246,CS0103
CommandProcessorConfigurationReference_6	FAIL	3	CS0246
CommandProcessorConfigurationReference_7	FAIL	1	CS0246
CommandProcessorConfigurationReference_8	FAIL	2	CS0246
CommandProcessorConfigurationReference_9	FAIL	3	CS0246
Compression_1	FAIL	13	CS0246,CS0103
Compression_2	FAIL	8	CS0246,CS0103
ConfiguringOpenTelemetry_1	FAIL	2	CS0246,CS1061
ConfiguringOpenTelemetry_2	FAIL	3	CS1513,CS1002,CS0103
ConfiguringOpenTelemetry_3	FAIL	3	CS1513,CS1002,CS0103
ConfiguringOpenTelemetry_4	FAIL	3	CS1513,CS1002,CS0103
